X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_total,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct
130104.717,76,8,11.047,4.844,30.48,11.047,12.058,16.891,4.833,28.61,4.844,30.48
130106.126,153,19,13.546,2.345,14.76,13.546,14.572,16.891,2.319,13.73,2.345,14.76
130107.286,99,12,13.431,2.46,15.48,13.431,14.436,16.891,2.455,14.53,2.46,15.48
130110.093,131,16,13.277,2.614,16.45,13.277,14.264,16.891,2.627,15.55,2.614,16.45
130111.604,121,14,12.844,3.047,19.17,12.844,13.946,16.891,2.945,17.43,3.047,19.17
130113.955,100,12,13.536,2.355,14.82,13.536,14.472,16.891,2.419,14.32,2.355,14.82
130120.521,172,22,11.42,4.471,28.13,11.42,12.528,16.891,4.363,25.83,4.471,28.13
130123.33,157,20,13.389,2.502,15.74,13.389,14.368,16.891,2.523,14.93,2.502,15.74
130123.849,148,18,13.354,2.537,15.96,13.354,14.464,16.891,2.427,14.37,2.537,15.96
130124.424,147,18,13.463,2.428,15.28,13.463,14.55,16.891,2.341,13.86,2.428,15.28
130125.304,28,3,12.314,3.577,22.51,12.314,12.977,16.891,3.914,23.17,3.577,22.51
130125.545,191,21,12.537,3.354,21.1,12.537,15.246,18.766,3.52,18.76,3.354,21.1
130125.736,139,17,13.138,2.753,17.32,13.138,14.25,16.891,2.641,15.63,2.753,17.32
130125.988,77,8,12.596,3.295,20.73,12.596,13.668,16.891,3.223,19.08,3.295,20.73
130126.088,119,14,13.054,2.837,17.86,13.054,14.14,16.891,2.751,16.29,2.837,17.86
130126.266,178,23,13.332,2.559,16.1,13.332,14.339,16.891,2.552,15.11,2.559,16.1
130127.072,190,21,12.911,2.98,18.75,12.911,13.984,16.891,2.907,17.21,2.98,18.75
130127.96,22,2,13.214,2.677,16.84,13.214,14.299,16.891,2.592,15.35,2.677,16.84
130128.25,4,1,12.821,3.07,19.32,12.821,15.689,18.766,3.077,16.4,3.07,19.32
130132.165,189,21,13.545,2.346,14.77,13.545,14.584,16.891,2.307,13.66,2.346,14.77
130134.429,23,2,13.353,2.538,15.97,13.353,14.414,16.891,2.477,14.66,2.538,15.97
130137.323,95,11,13.495,2.396,15.08,13.495,16.398,18.766,2.368,12.62,2.396,15.08
130138.194,40,4,13.518,2.373,14.93,13.518,14.55,16.891,2.341,13.86,2.373,14.93
130138.981,14,2,13.314,2.578,16.22,13.314,14.336,16.891,2.555,15.13,2.578,16.22
130139.238,138,17,13.477,2.414,15.19,13.477,14.464,16.891,2.427,14.37,2.414,15.19
130142.629,116,14,13.388,2.503,15.75,13.388,14.406,16.891,2.485,14.71,2.503,15.75
130143.548,146,18,13.393,2.498,15.72,13.393,14.444,16.891,2.447,14.48,2.498,15.72
130153.253,79,9,12.745,3.146,19.79,12.745,13.7,16.891,3.191,18.89,3.146,19.79
130153.46,173,22,13.335,2.556,16.09,13.335,14.406,16.891,2.485,14.71,2.556,16.09
130154.279,188,7,13.572,2.319,14.59,13.572,14.527,16.891,2.364,13.99,2.319,14.59
130155.151,134,16,13.063,2.828,17.8,13.063,16.041,18.766,2.725,14.52,2.828,17.8
130157.671,115,14,11.506,4.385,27.6,11.506,12.089,16.891,4.802,28.43,4.385,27.6
130159.577,160,20,13.404,2.487,15.65,13.404,14.489,16.891,2.402,14.22,2.487,15.65
130200.183,177,23,13.023,2.868,18.05,13.023,14.082,16.891,2.809,16.63,2.868,18.05
130201.974,159,20,13.359,2.532,15.93,13.359,14.446,16.891,2.445,14.48,2.532,15.93
130203.039,105,12,13.348,2.543,16,13.348,14.425,16.891,2.466,14.6,2.543,16
130203.199,187,21,13.541,2.35,14.79,13.541,14.575,16.891,2.316,13.71,2.35,14.79
130204.112,170,22,13.344,2.547,16.03,13.344,14.362,16.891,2.529,14.97,2.547,16.03
130208.052,20,2,13.443,2.448,15.4,13.443,14.497,16.891,2.394,14.17,2.448,15.4
130210.003,151,19,13.552,2.339,14.72,13.552,14.507,16.891,2.385,14.12,2.339,14.72
130213.518,48,6,13.488,2.403,15.12,13.488,14.429,16.891,2.462,14.58,2.403,15.12
130213.554,144,18,13.229,2.662,16.75,13.229,16.122,18.766,2.644,14.09,2.662,16.75
130214.38,32,4,13.668,2.223,13.99,13.668,14.661,16.891,2.23,13.2,2.223,13.99
130220.719,154,19,13.214,2.677,16.84,13.214,16.201,18.766,2.565,13.67,2.677,16.84
130220.807,91,11,12.89,3.001,18.89,12.89,15.777,18.766,2.989,15.93,3.001,18.89
130225.094,60,7,11.936,3.955,24.89,11.936,12.891,16.891,4,23.68,3.955,24.89
130227.51,51,6,13.031,2.86,18,13.031,14.102,16.891,2.789,16.51,2.86,18
130228.677,122,14,12.881,3.01,18.94,12.881,13.946,16.891,2.945,17.43,3.01,18.94
130237.084,53,6,13.436,2.455,15.45,13.436,14.506,16.891,2.385,14.12,2.455,15.45
130237.6,86,10,10.481,5.41,34.05,10.481,12.444,18.766,6.322,33.69,5.41,34.05
130238.574,113,13,13.412,2.479,15.6,13.412,14.463,16.891,2.428,14.38,2.479,15.6
130239.293,87,10,13.423,2.468,15.53,13.423,14.443,16.891,2.448,14.49,2.468,15.53
130240.649,142,18,13.438,2.453,15.44,13.438,14.45,16.891,2.441,14.45,2.453,15.44
130241.387,21,2,13.246,2.645,16.64,13.246,14.366,16.891,2.525,14.95,2.645,16.64
130241.643,26,3,12.663,3.228,20.31,12.663,13.658,16.891,3.233,19.14,3.228,20.31
130244.269,111,13,13.331,2.56,16.11,13.331,14.417,16.891,2.474,14.65,2.56,16.11
130246.925,12,2,12.757,3.134,19.72,12.757,13.673,16.891,3.218,19.05,3.134,19.72
130247.201,31,3,12.674,3.217,20.24,12.674,13.736,16.891,3.155,18.68,3.217,20.24
130251.632,29,3,12.833,3.058,19.25,12.833,13.879,16.891,3.012,17.83,3.058,19.25
130251.864,50,6,13.378,2.513,15.82,13.378,14.371,16.891,2.52,14.92,2.513,15.82
130252.865,136,17,10.006,5.885,37.04,10.006,9.011,16.891,7.88,46.65,5.885,37.04
130253.37,27,3,13.266,2.625,16.52,13.266,14.325,16.891,2.566,15.19,2.625,16.52
130255.053,84,9,13.346,2.545,16.02,13.346,14.448,16.891,2.443,14.46,2.545,16.02
130256.151,61,7,12.854,3.037,19.11,12.854,13.863,16.891,3.028,17.92,3.037,19.11
130258.034,128,16,13.363,2.528,15.91,13.363,16.254,18.766,2.512,13.39,2.528,15.91
130310.206,5,1,12.052,3.839,24.16,12.052,12.767,16.891,4.124,24.42,3.839,24.16
130310.749,145,18,13.053,2.838,17.86,13.053,15.961,18.766,2.805,14.95,2.838,17.86
130310.85,96,11,13.324,2.567,16.15,13.324,14.392,16.891,2.499,14.8,2.567,16.15
130311.99,70,7,12.872,3.019,19,12.872,15.731,18.766,3.035,16.17,3.019,19
130313.133,169,22,13.327,2.564,16.14,13.327,14.304,16.891,2.587,15.32,2.564,16.14
130313.422,97,11,13.319,2.572,16.18,13.319,14.439,16.891,2.452,14.52,2.572,16.18
130314.295,78,8,13.39,2.501,15.74,13.39,14.473,16.891,2.418,14.32,2.501,15.74
130315.746,156,20,13.212,2.679,16.86,13.212,14.207,16.891,2.684,15.89,2.679,16.86
130319.876,54,6,13.376,2.515,15.83,13.376,14.428,16.891,2.463,14.58,2.515,15.83
130320.639,171,22,13.426,2.465,15.51,13.426,14.519,16.891,2.372,14.04,2.465,15.51
130320.909,176,23,12.764,3.127,19.68,12.764,13.788,16.891,3.103,18.37,3.127,19.68
130321.146,89,10,13.38,2.511,15.8,13.38,14.46,16.891,2.431,14.39,2.511,15.8
130324.777,69,7,13.549,2.342,14.74,13.549,14.573,16.891,2.318,13.72,2.342,14.74
130325.793,106,13,12.727,3.164,19.91,12.727,13.723,16.891,3.168,18.76,3.164,19.91
130328.221,130,16,12.708,3.183,20.03,12.708,13.717,16.891,3.174,18.79,3.183,20.03
130328.972,174,22,11.818,4.073,25.63,11.818,12.93,16.891,3.961,23.45,4.073,25.63
130331.209,34,4,13.143,2.748,17.29,13.143,14.068,16.891,2.823,16.71,2.748,17.29
130332.807,104,12,13.415,2.476,15.58,13.415,14.488,16.891,2.403,14.23,2.476,15.58
130333.445,2,1,12.098,3.793,23.87,12.098,12.937,16.891,3.954,23.41,3.793,23.87
130333.455,186,21,10.297,5.594,35.2,10.297,10.243,16.891,6.648,39.36,5.594,35.2
130334.243,120,14,12.889,3.002,18.89,12.889,13.939,16.891,2.952,17.47,3.002,18.89
130335.971,71,7,11.966,3.925,24.7,11.966,13.024,16.891,3.867,22.9,3.925,24.7
130337.953,92,11,13.378,2.513,15.81,13.378,14.356,16.891,2.535,15.01,2.513,15.81
130338.193,181,23,13.189,2.702,17,13.189,14.233,16.891,2.658,15.73,2.702,17
130342.563,110,13,13.555,2.336,14.7,13.555,16.462,18.766,2.304,12.28,2.336,14.7
130343.291,55,6,13.513,2.378,14.96,13.513,14.565,16.891,2.326,13.77,2.378,14.96
130343.419,127,15,11.696,4.195,26.4,11.696,12.803,16.891,4.088,24.2,4.195,26.4
130345.116,185,22,13.004,2.887,18.17,13.004,13.997,16.891,2.894,17.14,2.887,18.17
130345.511,183,11,13.566,2.325,14.63,13.566,14.527,16.891,2.364,14,2.325,14.63
130349.409,8,1,13.42,2.471,15.55,13.42,14.462,16.891,2.43,14.38,2.471,15.55
130350.358,75,8,13.37,2.521,15.86,13.37,14.468,16.891,2.423,14.34,2.521,15.86
130351.235,33,4,13.567,2.324,14.62,13.567,16.417,18.766,2.349,12.52,2.324,14.62
130351.846,150,19,13.529,2.362,14.86,13.529,14.482,16.891,2.409,14.26,2.362,14.86
130353.849,117,14,12.888,3.004,18.9,12.888,15.76,18.766,3.006,16.02,3.004,18.9
130356.165,90,11,13.503,2.388,15.03,13.503,14.469,16.891,2.422,14.34,2.388,15.03
130401.028,7,1,13.191,2.7,16.99,13.191,14.305,16.891,2.586,15.31,2.7,16.99
130402.022,184,21,13.636,2.255,14.19,13.636,14.579,16.891,2.312,13.69,2.255,14.19
130402.256,24,2,13.278,2.613,16.45,13.278,14.337,16.891,2.554,15.12,2.613,16.45
130405.007,168,22,13.041,2.85,17.93,13.041,14.061,16.891,2.83,16.75,2.85,17.93
130405.659,83,9,13.033,2.858,17.99,13.033,14.186,16.891,2.705,16.01,2.858,17.99
130407.419,1,1,13.326,2.565,16.14,13.326,14.312,16.891,2.579,15.27,2.565,16.14
130408.74,3,1,13.304,2.587,16.28,13.304,14.349,16.891,2.542,15.05,2.587,16.28
130411.384,25,3,12.999,2.892,18.2,12.999,15.76,18.766,3.006,16.02,2.892,18.2
130417.801,155,20,13.329,2.562,16.12,13.329,14.315,16.891,2.576,15.25,2.562,16.12
130421.354,52,6,13.524,2.367,14.89,13.524,14.546,16.891,2.345,13.88,2.367,14.89
130421.905,98,11,12.941,2.95,18.57,12.941,14.089,16.891,2.802,16.59,2.95,18.57
130423.129,47,5,13.504,2.387,15.02,13.504,14.535,16.891,2.356,13.95,2.387,15.02
130427.877,182,23,13.123,2.768,17.42,13.123,14.178,16.891,2.713,16.06,2.768,17.42
130434.089,175,22,13.519,2.372,14.93,13.519,14.575,16.891,2.316,13.71,2.372,14.93
130438.699,6,1,13.525,2.366,14.89,13.525,14.552,16.891,2.339,13.85,2.366,14.89
130441.168,124,15,13.568,2.323,14.62,13.568,14.534,16.891,2.357,13.96,2.323,14.62
130444.375,102,12,13.392,2.499,15.73,13.392,14.469,16.891,2.422,14.34,2.499,15.73
130445.903,152,19,13.376,2.515,15.83,13.376,14.462,16.891,2.429,14.38,2.515,15.83
130447.468,43,5,12.255,3.636,22.88,12.255,13.178,16.891,3.713,21.98,3.636,22.88
130450.154,88,10,13.314,2.577,16.22,13.314,14.443,16.891,2.448,14.49,2.577,16.22
130451.075,72,8,13.292,2.599,16.36,13.292,14.279,16.891,2.612,15.46,2.599,16.36
130451.419,103,12,12.599,3.292,20.72,12.599,13.721,16.891,3.17,18.77,3.292,20.72
130451.678,158,20,12.532,3.359,21.13,12.532,15.511,18.766,3.255,17.35,3.359,21.13
130458.039,141,17,13.316,2.575,16.2,13.316,14.394,16.891,2.497,14.78,2.575,16.2
130458.276,109,13,12.66,3.231,20.33,12.66,13.67,16.891,3.221,19.07,3.231,20.33
130458.954,161,20,12.562,3.329,20.95,12.562,15.554,18.766,3.212,17.12,3.329,20.95
