,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,HBOS
117,131320.622,171,22,13.439,2.452,15.43,13.439,14.520999999999999,2.37,14.03,2.452,1.282512319346084
118,131037.19300000001,101,12,13.475999999999999,2.415,15.2,13.475999999999999,14.47,2.421,14.33,2.415,1.2367548287854044
119,131408.74300000002,3,1,13.308,2.583,16.25,13.308,14.359000000000002,2.532,14.99,2.583,1.2305694518545496
120,131123.334,157,20,13.383,2.508,15.78,13.383,14.366,2.525,14.95,2.508,1.2251237351835373
121,131153.44199999998,173,22,13.332,2.559,16.1,13.332,14.379000000000001,2.512,14.87,2.559,1.2057458681295168
122,131134.406,23,2,13.33,2.5610000000000004,16.12,13.33,14.383,2.508,14.85,2.5610000000000004,1.2057458681295168
123,131107.282,99,12,13.427,2.464,15.5,13.427,14.427999999999999,2.463,14.58,2.464,1.1226538508311372
124,131142.617,116,14,13.390999999999998,2.5,15.73,13.390999999999998,14.415,2.476,14.66,2.5,1.1226538508311372
125,131034.37,68,7,13.386,2.505,15.77,13.386,14.427,2.464,14.59,2.505,1.1226538508311372
126,131050.71699999999,30,3,13.436,2.455,15.45,13.436,14.421,2.47,14.62,2.455,1.1061087988991594
127,131010.114,49,6,13.383,2.508,15.78,13.383,14.35,2.541,15.04,2.508,0.9823339257048647
128,131013.222,108,13,13.467,2.424,15.25,13.467,14.466,2.425,14.35,2.424,0.9587901371900913
129,131051.362,35,4,13.383,2.508,15.78,13.383,14.472999999999999,2.418,14.32,2.508,0.9330019747858982
130,131417.791,155,20,13.344000000000001,2.5469999999999997,16.03,13.344000000000001,14.339,2.552,15.11,2.5469999999999997,0.8821088160350314
131,131251.862,50,6,13.372,2.519,15.85,13.372,14.37,2.522,14.93,2.519,0.860118047432039
132,131337.968,92,11,13.38,2.511,15.8,13.38,14.363,2.528,14.96,2.511,0.860118047432039
133,131126.25699999998,178,23,13.362,2.529,15.92,13.362,14.363,2.528,14.97,2.529,0.860118047432039
134,131213.51,48,6,13.498,2.3930000000000002,15.06,13.498,14.452,2.439,14.44,2.3930000000000002,0.837082195170134
135,131244.264,111,13,13.323,2.568,16.16,13.323,14.408,2.483,14.7,2.568,0.8295034025666187
136,131310.845,96,11,13.328,2.563,16.13,13.328,14.411,2.48,14.68,2.563,0.8295034025666187
137,131255.049,84,9,13.323,2.568,16.16,13.323,14.405999999999999,2.485,14.71,2.568,0.8295034025666187
138,131319.88199999998,54,6,13.354000000000001,2.537,15.96,13.354000000000001,14.392999999999999,2.498,14.79,2.537,0.782358388519237
139,131139.238,138,17,13.472999999999999,2.418,15.22,13.472999999999999,14.460999999999999,2.43,14.39,2.418,0.7449103172450106
140,131240.635,142,18,13.452,2.439,15.35,13.452,14.462,2.4290000000000003,14.38,2.439,0.7449103172450106
141,131048.159,143,18,13.444,2.447,15.4,13.444,14.437000000000001,2.454,14.53,2.447,0.7226339225338627
142,131350.364,75,8,13.373,2.5180000000000002,15.85,13.373,14.472999999999999,2.418,14.32,2.5180000000000002,0.6902121653072257
143,131238.554,113,13,13.421,2.47,15.55,13.421,14.454,2.437,14.43,2.47,0.6858782473981769
144,131349.406,8,1,13.408,2.483,15.63,13.408,14.448,2.443,14.46,2.483,0.6858782473981769
145,131314.27300000002,78,8,13.385,2.506,15.77,13.385,14.439,2.4530000000000003,14.52,2.506,0.6858782473981769
146,131018.034,135,16,13.39,2.501,15.74,13.39,14.446,2.445,14.47,2.501,0.6858782473981769
147,131239.274,87,10,13.437999999999999,2.4530000000000003,15.44,13.437999999999999,14.463,2.428,14.38,2.4530000000000003,0.6693331954661993
148,131458.036,141,17,13.345999999999998,2.545,16.01,13.345999999999998,14.425,2.4659999999999997,14.6,2.545,0.459051998144108
149,131450.149,88,10,13.314,2.577,16.22,13.314,14.447000000000001,2.444,14.47,2.577,0.39272779913365846
150,131123.84900000002,148,18,13.333,2.5580000000000003,16.1,13.333,14.440999999999999,2.45,14.51,2.5580000000000003,0.39272779913365846
151,131444.378,102,12,13.352,2.539,15.98,13.352,14.43,2.461,14.57,2.539,0.2699957619240567
152,131203.035,105,12,13.357000000000001,2.5340000000000003,15.94,13.357000000000001,14.437000000000001,2.454,14.53,2.5340000000000003,0.2699957619240567
153,131445.894,152,19,13.376,2.515,15.83,13.376,14.463,2.428,14.38,2.515,0.23615621465622852
