,Unnamed: 0,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_diskio_io_time,system_diskio_read_count,system_diskio_read_time,system_diskio_write_bytes,system_diskio_write_count,system_diskio_write_time,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
49,123,133321,171,22,12.628,3.263,20.53,12.628,13.700999999999999,3.19,18.88,3.263,20.53,0,0,0,6.99,0,0,3.65,0,0,0,0,0,0.26,0.35,0.08,10.961396444271728
50,116,133203,187,21,13.546,2.345,14.76,13.546,14.584000000000001,2.307,13.66,2.345,14.76,0,0,0,4.94,0,0,3.78,0,0,0,0,0,0.16,0.22,0.06,10.589563687658892
51,145,133023,125,15,13.445,2.4459999999999997,15.39,13.445,14.508,2.383,14.11,2.4459999999999997,15.39,0,0,0,0.0,0,0,2.81,0,0,0,0,0,0.94,1.19,0.25,10.480878338307656
52,25,133128,22,2,13.179,2.7119999999999997,17.06,13.179,14.277000000000001,2.614,15.48,2.7119999999999997,17.06,0,0,0,33.625,0,0,3.91,0,0,0,0,0,0.08,0.09,0.01,10.348071201240206
53,144,133048,143,18,13.454,2.437,15.33,13.454,14.457,2.434,14.41,2.437,15.33,0,0,0,0.0,0,0,3.07,0,0,0,0,0,0.7,0.93,0.23,10.291621856052085
54,20,133058,114,13,12.44,3.451,21.71,12.44,13.502,3.389,20.06,3.451,21.71,0,0,0,0.0,0,0,3.95,0,0,0,0,0,0.03,0.05,0.01,10.088239637152803
55,59,133333,2,1,12.102,3.7889999999999997,23.84,12.102,12.94,3.951,23.39,3.7889999999999997,23.84,0,0,0,0.0,0,0,3.96,0,0,0,0,0,0.03,0.04,0.01,9.94954707233761
56,66,133329,174,22,11.853,4.038,25.41,11.853,12.966,3.925,23.24,4.038,25.41,0,0,0,0.0,0,0,3.97,0,0,0,0,0,0.02,0.03,0.01,9.924746496982264
57,17,133126,191,21,12.520999999999999,3.37,21.21,12.520999999999999,15.235,3.531,18.82,3.37,21.21,0,0,0,0.0,0,0,3.96,0,0,0,0,0,0.03,0.04,0.01,9.904373600150661
58,137,133124,148,18,13.32,2.571,16.18,13.32,14.440999999999999,2.45,14.5,2.571,16.18,0,0,0,12.0,0,0,3.51,0,0,0,0,0,0.37,0.49,0.13,9.890543006559078
59,78,133018,158,20,13.62,2.271,14.29,13.62,14.599,2.292,13.57,2.271,14.29,0,0,0,4.223,0,0,3.72,0,0,0,0,0,0.26,0.28,0.02,9.79022313820531
60,74,132958,109,13,12.709000000000001,3.182,20.02,12.709000000000001,13.725999999999999,3.165,18.74,3.182,20.02,0,0,0,13.199000000000002,0,0,3.9,0,0,0,0,0,0.08,0.1,0.02,9.647539261482237
61,80,133202,159,20,12.704,3.187,20.05,12.704,13.785,3.1060000000000003,18.39,3.187,20.05,0,0,0,0.0,0,0,3.88,0,0,0,0,0,0.1,0.12,0.02,9.531121790516242
62,105,133428,182,23,13.082,2.8089999999999997,17.68,13.082,14.165,2.727,16.14,2.8089999999999997,17.68,0,0,0,0.0,0,0,3.88,0,0,0,0,0,0.09,0.12,0.03,9.5142577536646
63,126,133203,105,12,12.638,3.253,20.47,12.638,13.687000000000001,3.2039999999999997,18.97,3.253,20.47,0,0,0,0.0,0,0,3.6,0,0,0,0,0,0.3,0.4,0.09,9.503739787661189
64,82,133112,121,14,12.838,3.053,19.21,12.838,13.931,2.96,17.53,3.053,19.21,0,0,0,0.0,0,0,3.9,0,0,0,0,0,0.09,0.1,0.02,9.3591710993558
65,110,133356,90,11,12.635,3.2560000000000002,20.49,12.635,13.457,3.4339999999999997,20.33,3.2560000000000002,20.49,0,0,0,0.0,0,0,3.89,0,0,0,0,0,0.06,0.11,0.04,9.318920806041582
66,143,133241,142,18,13.448,2.443,15.38,13.448,14.449000000000002,2.4419999999999997,14.46,2.443,15.38,0,0,0,0.0,0,0,3.11,0,0,0,0,0,0.67,0.89,0.22,9.083741746323861
67,99,133255,84,9,12.649000000000001,3.242,20.4,12.649000000000001,13.742,3.1489999999999996,18.64,3.242,20.4,0,0,0,2.75,0,0,3.85,0,0,0,0,0,0.12,0.15,0.03,9.056082280149017
68,98,133345,185,22,12.998,2.8930000000000002,18.2,12.998,13.985999999999999,2.905,17.2,2.8930000000000002,18.2,0,0,0,0.0,0,0,3.85,0,0,0,0,0,0.13,0.15,0.02,9.047852498106653
69,72,133406,161,20,13.632,2.259,14.22,13.632,14.625,2.266,13.41,2.259,14.22,0,0,0,5.891,0,0,3.89,0,0,0,0,0,0.09,0.11,0.02,8.887724821929968
70,84,133331,34,4,13.177999999999999,2.713,17.07,13.177999999999999,14.102,2.7889999999999997,16.51,2.713,17.07,0,0,0,0.0,0,0,3.93,0,0,0,0,0,0.05,0.07,0.02,8.576424148503607
71,15,133221,154,19,13.232000000000001,2.659,16.73,13.232000000000001,16.226,2.54,13.54,2.659,16.73,0,0,0,4.666,0,0,3.95,0,0,0,0,0,0.04,0.05,0.01,8.567376471509222
72,26,133106,153,19,13.552,2.339,14.72,13.552,14.564,2.327,13.78,2.339,14.72,0,0,0,16.0,0,0,3.92,0,0,0,0,0,0.07,0.08,0.01,8.542478406722978
73,81,133155,134,16,13.02,2.872,18.07,13.02,16.009,2.7569999999999997,14.69,2.872,18.07,0,0,0,0.0,0,0,3.91,0,0,0,0,0,0.08,0.09,0.02,8.381325281114137
74,95,133040,183,11,13.615,2.276,14.33,13.615,14.491,2.4,14.21,2.276,14.33,0,0,0,5.785,0,0,3.71,0,0,0,0,0,0.26,0.29,0.02,8.379119492845522
75,69,133056,93,11,12.842,3.049,19.19,12.842,13.9,2.991,17.71,3.049,19.19,0,0,0,9.272,0,0,3.98,0,0,0,0,0,0.02,0.02,0.01,8.3684181546458
76,136,132958,141,17,13.349,2.542,16.0,13.349,14.440999999999999,2.45,14.5,2.542,16.0,0,0,0,0.0,0,0,3.39,0,0,0,0,0,0.48,0.61,0.13,8.289880207975873
77,91,133311,145,18,13.06,2.8310000000000004,17.81,13.06,15.975999999999999,2.7910000000000004,14.87,2.8310000000000004,17.81,0,0,0,0.0,0,0,3.94,0,0,0,0,0,0.05,0.06,0.02,8.074320697054175
78,77,133312,70,7,12.895999999999999,2.995,18.84,12.895999999999999,15.744000000000002,3.022,16.1,2.995,18.84,0,0,0,0.0,0,0,3.91,0,0,0,0,0,0.06,0.09,0.02,8.037339745390184
79,131,133134,23,2,13.387,2.504,15.76,13.387,14.427999999999999,2.463,14.58,2.504,15.76,0,0,0,0.0,0,0,3.39,0,0,0,0,0,0.49,0.61,0.12,8.037027804090272
80,76,133049,46,5,12.686,3.205,20.17,12.686,13.74,3.1510000000000002,18.65,3.205,20.17,0,0,0,0.0,0,0,3.87,0,0,0,0,0,0.11,0.13,0.02,7.999435978658209
81,13,133214,144,18,13.245,2.6460000000000004,16.65,13.245,16.135,2.6310000000000002,14.02,2.6460000000000004,16.65,0,0,0,0.0,0,0,3.95,0,0,0,0,0,0.04,0.05,0.01,7.573790916371015
