,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,HBOS
7,130342.56300000001,110,13,13.555,2.336,14.7,13.555,16.462,2.3040000000000003,12.28,2.336,14.7,7.226949390540099
109,130421.905,98,11,12.940999999999999,2.95,18.57,12.940999999999999,14.089,2.802,16.59,2.95,18.57,7.211488744110474
108,130040.594,180,23,12.999,2.892,18.2,12.999,14.116,2.775,16.43,2.892,18.2,7.211488744110474
98,130155.151,134,16,13.062999999999999,2.8280000000000003,17.8,13.062999999999999,16.041,2.725,14.52,2.8280000000000003,17.8,7.138590156324595
95,130125.73599999999,139,17,13.138,2.753,17.32,13.138,14.25,2.641,15.63,2.753,17.32,7.045033785324129
9,130324.77699999999,69,7,13.549000000000001,2.342,14.74,13.549000000000001,14.573,2.318,13.72,2.342,14.74,6.8158474564310465
5,130351.235,33,4,13.567,2.324,14.62,13.567,16.417,2.349,12.52,2.324,14.62,6.629852818743688
92,130401.028,7,1,13.190999999999999,2.7,16.99,13.190999999999999,14.305,2.5860000000000003,15.31,2.7,16.99,6.308457844759636
89,130220.719,154,19,13.214,2.677,16.84,13.214,16.201,2.565,13.67,2.677,16.84,6.2608126070992505
88,130213.554,144,18,13.229000000000001,2.662,16.75,13.229000000000001,16.122,2.6439999999999997,14.09,2.662,16.75,5.91219907271037
10,130106.12599999999,153,19,13.546,2.345,14.76,13.546,14.572000000000001,2.319,13.73,2.345,14.76,5.571307956009337
82,130451.075,72,8,13.292,2.5989999999999998,16.36,13.292,14.279000000000002,2.612,15.46,2.5989999999999998,16.36,5.188011457689406
86,130015.87400000001,149,19,13.262,2.6289999999999996,16.54,13.262,14.277999999999999,2.613,15.47,2.6289999999999996,16.54,5.188011457689406
84,130110.09300000001,131,16,13.277000000000001,2.614,16.45,13.277000000000001,14.264000000000001,2.627,15.55,2.614,16.45,5.188011457689406
90,130127.96,22,2,13.214,2.677,16.84,13.214,14.299000000000001,2.592,15.35,2.677,16.84,5.188011457689406
20,130030.377,38,4,13.509,2.3819999999999997,14.99,13.509,14.587,2.3040000000000003,13.64,2.3819999999999997,14.99,5.138217145416348
18,130434.089,175,22,13.519,2.372,14.93,13.519,14.575,2.316,13.71,2.372,14.93,5.138217145416348
3,130154.27900000001,188,7,13.572000000000001,2.319,14.59,13.572000000000001,14.527000000000001,2.364,13.99,2.319,14.59,4.974211384212925
4,130441.168,124,15,13.568,2.323,14.62,13.568,14.534,2.3569999999999998,13.96,2.323,14.62,4.974211384212925
6,130345.511,183,11,13.565999999999999,2.325,14.63,13.565999999999999,14.527000000000001,2.364,14.0,2.325,14.63,4.974211384212925
8,130210.00300000001,151,19,13.552,2.339,14.72,13.552,14.507,2.385,14.12,2.339,14.72,4.861507104021636
80,130138.981,14,2,13.314,2.5780000000000003,16.22,13.314,14.335999999999999,2.555,15.13,2.5780000000000003,16.22,4.826794256042108
83,130402.256,24,2,13.277999999999999,2.613,16.45,13.277999999999999,14.337,2.5540000000000003,15.12,2.613,16.45,4.826794256042108
85,130253.37,27,3,13.265999999999998,2.625,16.52,13.265999999999998,14.325,2.5660000000000003,15.19,2.625,16.52,4.826794256042108
81,130408.74,3,1,13.304,2.5869999999999997,16.28,13.304,14.349,2.542,15.05,2.5869999999999997,16.28,4.6962516419158185
78,130458.039,141,17,13.315999999999999,2.575,16.2,13.315999999999999,14.394,2.497,14.78,2.575,16.2,4.696251641915816
87,130241.38699999999,21,2,13.245999999999999,2.645,16.64,13.245999999999999,14.366,2.525,14.95,2.645,16.64,4.696251641915816
24,130137.323,95,11,13.495,2.396,15.08,13.495,16.398,2.3680000000000003,12.62,2.396,15.08,4.340954514614202
23,130046.92300000001,82,9,13.495999999999999,2.395,15.07,13.495999999999999,16.423,2.343,12.49,2.395,15.07,4.340954514614202
79,130450.15400000001,88,10,13.314,2.577,16.22,13.314,14.443,2.448,14.49,2.577,16.22,3.5528891449801003
62,130258.034,128,16,13.363,2.528,15.91,13.363,16.254,2.512,13.39,2.528,15.91,3.4553348239916835
15,130438.69900000001,6,1,13.525,2.366,14.89,13.525,14.552,2.339,13.85,2.366,14.89,3.282409651879851
19,130343.291,55,6,13.513,2.378,14.96,13.513,14.565,2.326,13.77,2.378,14.96,3.282409651879851
17,130138.194,40,4,13.517999999999999,2.373,14.93,13.517999999999999,14.55,2.3409999999999997,13.86,2.373,14.93,3.282409651879851
29,130124.424,147,18,13.463,2.428,15.28,13.463,14.55,2.3409999999999997,13.86,2.428,15.28,3.0211735759119795
32,130023.366,125,15,13.454,2.437,15.34,13.454,14.515999999999998,2.375,14.06,2.437,15.34,3.0211735759119795
37,130320.63900000001,171,22,13.425999999999998,2.465,15.51,13.425999999999998,14.519,2.372,14.04,2.465,15.51,3.0211735759119795
16,130421.354,52,6,13.524000000000001,2.367,14.89,13.524000000000001,14.546,2.345,13.88,2.367,14.89,2.6853130800834393
21,130423.129,47,5,13.504000000000001,2.387,15.02,13.504000000000001,14.535,2.356,13.95,2.387,15.02,2.6853130800834393
35,130237.084,53,6,13.436,2.455,15.45,13.436,14.505999999999998,2.385,14.12,2.455,15.45,2.668708956795599
33,130208.052,20,2,13.443,2.448,15.4,13.443,14.497,2.394,14.17,2.448,15.4,2.605039876926224
27,130030.48599999999,107,13,13.474,2.417,15.21,13.474,14.425,2.4659999999999997,14.6,2.417,15.21,2.5926106002404143
14,130351.84599999999,150,19,13.529000000000002,2.362,14.86,13.529000000000002,14.482000000000001,2.4090000000000003,14.26,2.362,14.86,2.269179381097684
13,130113.955,100,12,13.536,2.355,14.82,13.536,14.472000000000001,2.419,14.32,2.355,14.82,2.269179381097684
38,130239.293,87,10,13.423,2.468,15.53,13.423,14.443,2.448,14.49,2.468,15.53,2.200500135229103
36,130107.286,99,12,13.431,2.46,15.48,13.431,14.436,2.455,14.53,2.46,15.48,2.200500135229103
56,130010.123,49,6,13.377,2.5140000000000002,15.82,13.377,14.315999999999999,2.575,15.24,2.5140000000000002,15.82,2.0213164729345383
73,130417.80099999999,155,20,13.329,2.562,16.12,13.329,14.315,2.576,15.25,2.562,16.12,2.0206460066999123
74,130407.41900000001,1,1,13.325999999999999,2.565,16.14,13.325999999999999,14.312000000000001,2.5789999999999997,15.27,2.565,16.14,2.0206460066999123
75,130313.133,169,22,13.327,2.5639999999999996,16.14,13.327,14.304,2.5869999999999997,15.32,2.5639999999999996,16.14,2.0206460066999123
55,130337.95300000001,92,11,13.378,2.513,15.81,13.378,14.356,2.535,15.01,2.513,15.81,1.8907738588082483
57,130251.864,50,6,13.378,2.513,15.82,13.378,14.370999999999999,2.52,14.92,2.513,15.82,1.890773858808246
53,130142.629,116,14,13.388,2.503,15.75,13.388,14.405999999999999,2.485,14.71,2.503,15.75,1.890773858808246
52,130123.33,157,20,13.389000000000001,2.502,15.74,13.389000000000001,14.368,2.523,14.93,2.502,15.74,1.890773858808246
69,130204.112,170,22,13.344000000000001,2.5469999999999997,16.03,13.344000000000001,14.362,2.529,14.97,2.5469999999999997,16.03,1.8901033925736224
71,130126.266,178,23,13.332,2.559,16.1,13.332,14.339,2.552,15.11,2.559,16.1,1.8901033925736224
70,130153.46,173,22,13.335,2.556,16.09,13.335,14.405999999999999,2.485,14.71,2.556,16.09,1.8901033925736201
76,130310.85,96,11,13.324000000000002,2.5669999999999997,16.15,13.324000000000002,14.392000000000001,2.499,14.8,2.5669999999999997,16.15,1.8901033925736201
67,130024.63699999999,36,4,13.349,2.542,16.0,13.349,14.41,2.481,14.69,2.542,16.0,1.8901033925736201
34,130240.649,142,18,13.437999999999999,2.4530000000000003,15.44,13.437999999999999,14.45,2.441,14.45,2.4530000000000003,15.44,1.8750455402337274
25,130213.51800000001,48,6,13.488,2.403,15.12,13.488,14.429,2.4619999999999997,14.58,2.403,15.12,1.8646396394005618
22,130356.165,90,11,13.503,2.388,15.03,13.503,14.469000000000001,2.4219999999999997,14.34,2.388,15.03,1.8378156169386957
30,130013.23300000001,108,13,13.458,2.4330000000000003,15.31,13.458,14.467,2.424,14.35,2.4330000000000003,15.31,1.6989542811780436
28,130037.18699999999,101,12,13.472000000000001,2.42,15.23,13.472000000000001,14.46,2.431,14.39,2.42,15.23,1.6989542811780436
26,130139.23800000001,138,17,13.477,2.414,15.19,13.477,14.464,2.427,14.37,2.414,15.19,1.6989542811780436
31,130048.166,143,18,13.455,2.436,15.33,13.455,14.458,2.4330000000000003,14.4,2.436,15.33,1.6989542811780436
65,130134.429,23,2,13.353,2.5380000000000003,15.97,13.353,14.414000000000001,2.477,14.66,2.5380000000000003,15.97,1.5201921075018254
66,130203.039,105,12,13.347999999999999,2.543,16.0,13.347999999999999,14.425,2.4659999999999997,14.6,2.543,16.0,1.1388513606492157
72,130244.269,111,13,13.331,2.56,16.11,13.331,14.417,2.474,14.65,2.56,16.11,1.1388513606492157
51,130314.295,78,8,13.39,2.501,15.74,13.39,14.472999999999999,2.418,14.32,2.501,15.74,0.9060855957481808
42,130012.594,132,16,13.411,2.48,15.61,13.411,14.493,2.398,14.2,2.48,15.61,0.9060855957481808
43,130018.039,135,16,13.405999999999999,2.485,15.64,13.405999999999999,14.485999999999999,2.405,14.24,2.485,15.64,0.9060855957481808
45,130159.57699999999,160,20,13.404000000000002,2.487,15.65,13.404000000000002,14.489,2.4019999999999997,14.22,2.487,15.65,0.9060855957481808
46,130048.558,46,5,13.395999999999999,2.495,15.7,13.395999999999999,14.470999999999998,2.42,14.33,2.495,15.7,0.9060855957481808
47,130051.36099999999,35,4,13.392000000000001,2.499,15.72,13.392000000000001,14.478,2.4130000000000003,14.28,2.499,15.72,0.9060855957481808
40,130332.80699999999,104,12,13.415,2.476,15.58,13.415,14.488,2.403,14.23,2.476,15.58,0.9060855957481808
59,130319.87599999999,54,6,13.376,2.515,15.83,13.376,14.427999999999999,2.463,14.58,2.515,15.83,0.7474113618725302
77,130313.42199999999,97,11,13.319,2.572,16.18,13.319,14.439,2.452,14.52,2.572,16.18,0.746740895637904
63,130201.974,159,20,13.359000000000002,2.532,15.93,13.359000000000002,14.446,2.445,14.48,2.532,15.93,0.5846840643748262
44,130053.962,45,5,13.404000000000002,2.487,15.65,13.404000000000002,14.443,2.448,14.49,2.487,15.65,0.5015458540510591
48,130143.54800000001,146,18,13.392999999999999,2.498,15.72,13.392999999999999,14.444,2.447,14.48,2.498,15.72,0.5015458540510591
49,130034.375,68,7,13.390999999999998,2.5,15.73,13.390999999999998,14.427999999999999,2.463,14.58,2.5,15.73,0.5015458540510591
61,130350.35800000001,75,8,13.37,2.521,15.86,13.37,14.468,2.423,14.34,2.521,15.86,0.483226423616082
50,130444.375,102,12,13.392000000000001,2.499,15.73,13.392000000000001,14.469000000000001,2.4219999999999997,14.34,2.499,15.73,0.4747218315891927
68,130255.05300000001,84,9,13.345999999999998,2.545,16.02,13.345999999999998,14.448,2.443,14.46,2.545,16.02,0.42128630064252875
64,130123.849,148,18,13.354000000000001,2.537,15.96,13.354000000000001,14.464,2.427,14.37,2.537,15.96,0.2458655078214711
60,130012.204,44,5,13.375,2.516,15.83,13.375,14.453,2.438,14.43,2.516,15.83,0.2458655078214711
58,130445.903,152,19,13.376,2.515,15.83,13.376,14.462,2.4290000000000003,14.38,2.515,15.83,0.2458655078214711
54,130321.146,89,10,13.38,2.511,15.8,13.38,14.46,2.431,14.39,2.511,15.8,0.2458655078214711
41,130238.57400000001,113,13,13.412,2.479,15.6,13.412,14.463,2.428,14.38,2.479,15.6,0.0
39,130349.409,8,1,13.42,2.471,15.55,13.42,14.462,2.43,14.38,2.471,15.55,0.0
