,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
138,132239,87,10,13.414000000000001,2.477,15.59,13.414000000000001,14.424000000000001,2.467,14.6,2.477,15.59,3.96,0,0,0,0,0,0.03,0.04,0.01,1.8201336265318793
139,132241,142,18,13.458,2.4330000000000003,15.31,13.458,14.447000000000001,2.444,14.47,2.4330000000000003,15.31,3.95,0,0,0,0,0,0.04,0.05,0.01,1.722489461659188
140,132143,116,14,13.395999999999999,2.495,15.7,13.395999999999999,14.419,2.472,14.64,2.495,15.7,3.98,0,0,0,0,0,0.02,0.02,0.01,1.6839211035387025
141,132203,105,12,13.34,2.551,16.05,13.34,14.429,2.4619999999999997,14.58,2.551,16.05,3.95,0,0,0,0,0,0.04,0.05,0.01,1.6566355560635178
142,132338,92,11,13.367,2.524,15.88,13.367,14.334000000000001,2.557,15.14,2.524,15.88,3.95,0,0,0,0,0,0.04,0.05,0.01,1.4651421905369737
143,132051,35,4,13.341,2.55,16.05,13.341,14.421,2.47,14.62,2.55,16.05,3.97,0,0,0,0,0,0.02,0.03,0.02,1.4081339234405132
144,132314,78,8,13.374,2.517,15.84,13.374,14.463,2.428,14.37,2.517,15.84,3.94,0,0,0,0,0,0.05,0.06,0.01,1.3765742574574802
145,132013,108,13,13.437999999999999,2.4530000000000003,15.44,13.437999999999999,14.443,2.448,14.49,2.4530000000000003,15.44,3.97,0,0,0,0,0,0.03,0.03,0.01,1.3728843664356174
146,132321,89,10,13.4,2.491,15.68,13.4,14.489,2.4019999999999997,14.22,2.491,15.68,3.96,0,0,0,0,0,0.03,0.04,0.01,1.3311750689050836
147,132048,143,18,13.455,2.436,15.33,13.455,14.456,2.435,14.42,2.436,15.33,3.97,0,0,0,0,0,0.02,0.03,0.0,1.327126875874942
148,132349,8,1,13.389000000000001,2.502,15.74,13.389000000000001,14.444,2.447,14.49,2.502,15.74,3.96,0,0,0,0,0,0.04,0.04,0.01,1.2459909609458204
149,132446,152,19,13.369000000000002,2.522,15.87,13.369000000000002,14.453,2.438,14.43,2.522,15.87,3.94,0,0,0,0,0,0.05,0.06,0.01,1.2056985195392915
150,132126,178,23,13.368,2.523,15.88,13.368,14.367,2.524,14.94,2.523,15.88,3.98,0,0,0,0,0,0.02,0.02,0.0,1.1603109059928174
151,132144,146,18,13.394,2.497,15.71,13.394,14.485,2.406,14.24,2.497,15.71,3.98,0,0,0,0,0,0.02,0.02,0.0,1.0495736250794085
152,132018,135,16,13.392999999999999,2.498,15.72,13.392999999999999,14.465,2.426,14.36,2.498,15.72,3.97,0,0,0,0,0,0.02,0.03,0.01,0.9578032517237633
153,132333,104,12,13.377,2.5140000000000002,15.82,13.377,14.445,2.4459999999999997,14.48,2.5140000000000002,15.82,3.97,0,0,0,0,0,0.02,0.03,0.01,0.8404344603930991
