X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_total,system_memory_swap_used_pct
131408.219,184,21,0,0,0,0,0
131409.901,168,22,0,0,0,0,0
131411.367,1,1,0,0,0,0,0
131412.079,83,9,0,0,0,0,0
131422.07,155,20,0,0,0,0,0
131422.343,3,1,0,0,0,0,0
131427.857,98,11,0,0,0,0,0
131427.911,52,6,0,0,0,0,0
131428.497,25,3,0,0,0,0,0
131430.535,47,5,0,0,0,0,0
131435.285,182,23,0,0,0,4.451,0
131441.193,175,22,0,0,0,0,0
131447.297,124,15,0,0,0,0,0
131451.023,152,19,0,0,0,4.689,0
131451.252,102,12,0,0,0,0,0
131453.202,6,1,0,0,0,0,0
131454.769,88,10,0,0,0,0,0
131455.466,103,12,0,0,0,25.333,0
131458.707,72,8,0,0,0,0,0
131055.962,46,5,0,0,0,4.047,0
