,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,actual_free,actual_used_bytes,actual_used_pct,free,swap_free,swap_total,swap_used_bytes,swap_used_pct,total,used_bytes,used_pct
17111,"December 18th 2018, 13:02:40.649",1,vOYAwmcBxOZ1qs_p5bGw,metricbeat-000209,NA,doc,142,6.2.4,18,system,memory,,13.438,2.453,0.1544,13.438,14.45,16.891,2.441,0.1445,15.891,2.453,0.1544
17172,"December 18th 2018, 13:00:48.166",1,sGITwmcBuqt-6aA3ouba,metricbeat-000209,NA,doc,143,6.2.4,18,system,memory,,13.455,2.436,0.1533,13.455,14.458,16.891,2.433,0.144,15.891,2.436,0.1533
17122,"December 18th 2018, 13:02:13.554",1,BOoBwmcBn_oGi6rsOBus,metricbeat-000209,NA,doc,144,6.2.4,18,system,memory,,13.229,2.662,0.1675,13.229,16.122,18.766,2.644,0.1409,15.891,2.662,0.1675
17097,"December 18th 2018, 13:03:10.749",1,EEoAwmcBAOA7YPJG-B_o,metricbeat-000209,NA,doc,145,6.2.4,18,system,memory,,13.053,2.838,0.1786,13.053,15.961,18.766,2.805,0.1495,15.891,2.838,0.1786
17137,"December 18th 2018, 13:01:43.548",1,WJgTwmcBX8H-MD0_3GCh,metricbeat-000209,NA,doc,146,6.2.4,18,system,memory,,13.393,2.498,0.1572,13.393,14.444,16.891,2.447,0.1448,15.891,2.498,0.1572
17154,"December 18th 2018, 13:01:24.424",1,mUkAwmcBAOA7YPJGu4ly,metricbeat-000209,NA,doc,147,6.2.4,18,system,memory,166,13.463,2.428,0.1528,13.463,14.55,16.891,2.341,0.1386,15.891,2.428,0.1528
17155,"December 18th 2018, 13:01:23.849",1,55gTwmcBX8H-MD0_wTgJ,metricbeat-000209,NA,doc,148,6.2.4,18,system,memory,,13.354,2.537,0.1596,13.354,14.464,16.891,2.427,0.1437,15.891,2.537,0.1596
17187,"December 18th 2018, 13:00:15.874",1,H40AwmcB6ZGVNHRk4Qo_,metricbeat-000209,NA,doc,149,6.2.4,19,system,memory,,13.262,2.629,0.1654,13.262,14.278,16.891,2.613,0.1547,15.891,2.629,0.1654
17066,"December 18th 2018, 13:03:51.846",1,sfwkwmcBrehMbwjYV6AQ,metricbeat-000209,NA,doc,150,6.2.4,19,system,memory,,13.529,2.362,0.1486,13.529,14.482,16.891,2.409,0.1426,15.891,2.362,0.1486
17124,"December 18th 2018, 13:02:10.003",1,XAwAwmcBdDbnrhqkz5fQ,metricbeat-000209,NA,doc,151,6.2.4,19,system,memory,,13.552,2.339,0.1472,13.552,14.507,16.891,2.385,0.1412,15.891,2.339,0.1472
17046,"December 18th 2018, 13:04:45.903",1,e_clwmcBxOZ1qs_pE5KT,metricbeat-000209,NA,doc,152,6.2.4,19,system,memory,,13.376,2.515,0.1583,13.376,14.462,16.891,2.429,0.1438,15.891,2.515,0.1583
17162,"December 18th 2018, 13:01:06.126",1,Z4gAwmcBX8H-MD0_sveP,metricbeat-000209,NA,doc,153,6.2.4,19,system,memory,,13.546,2.345,0.1476,13.546,14.572,16.891,2.319,0.1373,15.891,2.345,0.1476
17120,"December 18th 2018, 13:02:20.719",1,YGMTwmcBuqt-6aA38ne5,metricbeat-000209,NA,doc,154,6.2.4,19,system,memory,,13.214,2.677,0.1684,13.214,16.201,18.766,2.565,0.1367,15.891,2.677,0.1684
17055,"December 18th 2018, 13:04:17.801",1,IlUBwmcBuqt-6aA3m5hR,metricbeat-000209,NA,doc,155,6.2.4,20,system,memory,,13.329,2.562,0.1612,13.329,14.315,16.891,2.576,0.1525,15.891,2.562,0.1612
17091,"December 18th 2018, 13:03:15.746",1,R5UfwmcBbOSZnM2xZ3na,metricbeat-000209,NA,doc,156,6.2.4,20,system,memory,,13.212,2.679,0.1686,13.212,14.207,16.891,2.684,0.1589,15.891,2.679,0.1686
17156,"December 18th 2018, 13:01:23.330",1,Y5sTwmcB6ZGVNHRkwOH0,metricbeat-000209,NA,doc,157,6.2.4,20,system,memory,,13.389,2.502,0.1574,13.389,14.368,16.891,2.523,0.1493,15.891,2.502,0.1574
17041,"December 18th 2018, 13:04:51.678",1,mx0lwmcBdDbnrhqkF9HN,metricbeat-000209,NA,doc,158,6.2.4,20,system,memory,,12.532,3.359,0.2113,12.532,15.511,18.766,3.255,0.1735,15.891,3.359,0.2113
17129,"December 18th 2018, 13:02:01.974",1,qvgTwmcBn_oGi6rs6Zx3,metricbeat-000209,NA,doc,159,6.2.4,20,system,memory,,13.359,2.532,0.1593,13.359,14.446,16.891,2.445,0.1448,15.891,2.532,0.1593
17131,"December 18th 2018, 13:01:59.577",1,0gwAwmcBdDbnrhqkyYUT,metricbeat-000209,NA,doc,160,6.2.4,20,system,memory,,13.404,2.487,0.1565,13.404,14.489,16.891,2.402,0.1422,15.891,2.487,0.1565
17038,"December 18th 2018, 13:04:58.954",1,qesBwmcBn_oGi6rswwog,metricbeat-000209,NA,doc,161,6.2.4,20,system,memory,,12.562,3.329,0.2095,12.562,15.554,18.766,3.212,0.1712,15.891,3.329,0.2095
17062,"December 18th 2018, 13:04:02.022",1,PhIBwmcBN4R-DFd1NMrT,metricbeat-000209,NA,doc,184,6.2.4,21,system,memory,171,13.636,2.255,0.1419,13.636,14.579,16.891,2.312,0.1369,15.891,2.255,0.1419
17079,"December 18th 2018, 13:03:33.455",1,oUoBwmcBAOA7YPJGIUgJ,metricbeat-000209,NA,doc,186,6.2.4,21,system,memory,148,10.297,5.594,0.352,10.297,10.243,16.891,6.648,0.3936,15.891,5.594,0.352
17127,"December 18th 2018, 13:02:03.199",1,mhIBwmcBN4R-DFd1MLzU,metricbeat-000209,NA,doc,187,6.2.4,21,system,memory,,13.541,2.35,0.1479,13.541,14.575,16.891,2.316,0.1371,15.891,2.35,0.1479
17144,"December 18th 2018, 13:01:32.165",1,QPgTwmcBn_oGi6rsyXEC,metricbeat-000209,NA,doc,189,6.2.4,21,system,memory,,13.545,2.346,0.1477,13.545,14.584,16.891,2.307,0.1366,15.891,2.346,0.1477
17147,"December 18th 2018, 13:01:27.072",1,oJsTwmcB6ZGVNHRkxut5,metricbeat-000209,NA,doc,190,6.2.4,21,system,memory,,12.911,2.98,0.1875,12.911,13.984,16.891,2.907,0.1721,15.891,2.98,0.1875
17152,"December 18th 2018, 13:01:25.545",1,mPgTwmcBn_oGi6rsxGKe,metricbeat-000209,NA,doc,191,6.2.4,21,system,memory,105,12.537,3.354,0.211,12.537,15.246,18.766,3.52,0.1876,15.891,3.354,0.211
