,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
38655,"December 18th 2018, 15:17:27.521",1,UlJTwmcBdDbnrhqkcxVv,metricbeat-000209,NA,doc,51,6.2.4,6,system,network,"1,010",319.764MB,0,0,"735,198",Ethernet,233.569MB,0,0,"793,026"
38468,"December 18th 2018, 15:19:21.359",1,u1JTwmcBdDbnrhqk99Zw,metricbeat-000209,NA,doc,52,6.2.4,6,system,network,"4,036",83.497MB,0,0,"201,479",Ethernet,56.094MB,0,0,"216,221"
38650,"December 18th 2018, 15:17:37.095",1,bo9TwmcBAOA7YPJGhEAQ,metricbeat-000209,NA,doc,53,6.2.4,6,system,network,"1,976",81.577MB,0,0,"183,869",Ethernet,50.455MB,0,0,"200,592"
38580,"December 18th 2018, 15:18:19.875",1,wY9TwmcBAOA7YPJGwYuR,metricbeat-000209,NA,doc,54,6.2.4,6,system,network,"2,990",61.463MB,0,0,"148,834",Ethernet,65.533MB,0,0,"172,464"
38528,"December 18th 2018, 15:18:43.313",1,oX87wmcBuqt-6aA3iK_8,metricbeat-000209,NA,doc,55,6.2.4,6,system,network,"4,193",103.72MB,0,0,"243,559",Ethernet,67.894MB,0,0,"258,396"
38662,"December 18th 2018, 15:17:25.050",1,ETFTwmcBrehMbwjYcj4-,metricbeat-000209,NA,doc,60,6.2.4,7,system,network,969,1.483GB,0,0,"3,103,547",Ethernet,995.74MB,0,0,"3,379,913"
38607,"December 18th 2018, 15:17:56.087",1,bBQ7wmcBn_oGi6rseX4C,metricbeat-000209,NA,doc,61,6.2.4,7,system,network,"3,055",3.489GB,0,0,"4,083,920",Ethernet,843.261MB,0,0,"3,551,189"
38657,"December 18th 2018, 15:17:25.093",1,jhE7wmcBxOZ1qs_pbJWn,metricbeat-000209,NA,doc,62,6.2.4,7,system,network,"1,991",92.458MB,0,0,"121,550",Ethernet,30.839MB,0,0,"111,117"
38368,"December 18th 2018, 15:20:34.287",1,11NUwmcBdDbnrhqkKjks,metricbeat-000209,NA,doc,68,6.2.4,7,system,network,"1,975",71.793MB,0,0,"147,256",Ethernet,44.689MB,0,0,"155,408"
38569,"December 18th 2018, 15:18:24.621",1,4BQ7wmcBn_oGi6rsgZ5g,metricbeat-000209,NA,doc,69,6.2.4,7,system,network,"3,872",63.339MB,0,0,"141,361",Ethernet,39.086MB,0,0,"153,423"
38593,"December 18th 2018, 15:18:11.907",1,Brg7wmcB6ZGVNHRkfgG-,metricbeat-000209,NA,doc,70,6.2.4,7,system,network,"4,043",37.419MB,0,0,"68,264",Ethernet,43.231MB,0,0,"84,805"
38540,"December 18th 2018, 15:18:35.921",1,Cc9TwmcBX8H-MD0_yyZa,metricbeat-000209,NA,doc,71,6.2.4,7,system,network,"3,055",867.659MB,0,0,"1,704,385",Ethernet,534.517MB,0,0,"1,848,814"
38235,"December 18th 2018, 15:21:54.180",1,RnY7wmcBAOA7YPJGxwLy,metricbeat-000209,NA,doc,188,6.2.4,7,system,network,"2,863",58.283MB,0,0,"133,466",Ethernet,37.78MB,0,0,"139,068"
38440,"December 18th 2018, 15:19:51.428",1,gn87wmcBuqt-6aA3nf5p,metricbeat-000209,NA,doc,72,6.2.4,8,system,network,"3,891",254.753MB,0,0,"594,078",Ethernet,167.676MB,0,0,"632,530"
38377,"December 18th 2018, 15:20:29.231",1,XXY8wmcBAOA7YPJGDJhS,metricbeat-000209,NA,doc,74,6.2.4,8,system,network,"4,014",110.233MB,0,0,"226,971",Ethernet,63.773MB,0,0,"239,546"
38518,"December 18th 2018, 15:18:50.338",1,CHY7wmcBAOA7YPJG5zJP,metricbeat-000209,NA,doc,75,6.2.4,8,system,network,"4,029",81.719MB,0,0,"174,665",Ethernet,48.953MB,0,0,"184,030"
38328,"December 18th 2018, 15:21:04.929",1,dTk8wmcBdDbnrhqkF56W,metricbeat-000209,NA,doc,76,6.2.4,8,system,network,969,1.096GB,0,0,"2,429,938",Ethernet,735.291MB,0,0,"2,613,027"
38281,"December 18th 2018, 15:21:25.873",1,vYE8wmcBuqt-6aA3IVDg,metricbeat-000209,NA,doc,77,6.2.4,8,system,network,"2,912",998.734MB,63,0,"2,253,199",Ethernet,757.352MB,0,0,"2,473,324"
38663,"December 18th 2018, 15:17:25.047",1,67g7wmcB6ZGVNHRksrRg,metricbeat-000209,NA,doc,78,6.2.4,8,system,network,997,12.526MB,0,0,"24,555",Ethernet,7.473MB,0,0,"25,451"
38239,"December 18th 2018, 15:21:52.996",1,njk8wmcBdDbnrhqkN9rk,metricbeat-000209,NA,doc,79,6.2.4,9,system,network,"3,873",2.112GB,0,0,"2,672,275",Ethernet,563.021MB,0,0,"2,300,712"
38340,"December 18th 2018, 15:20:54.600",1,kzJUwmcBrehMbwjYNWl3,metricbeat-000209,NA,doc,80,6.2.4,9,system,network,"3,296",385.561MB,0,0,"6,955,036",Ethernet,1.628GB,0,0,"6,787,220"
38357,"December 18th 2018, 15:20:46.607",1,KxM8wmcBxOZ1qs_pE3vI,metricbeat-000209,NA,doc,82,6.2.4,9,system,network,"4,029",103.914MB,0,0,"227,842",Ethernet,57.41MB,0,0,"236,744"
38488,"December 18th 2018, 15:19:05.665",1,6bU7wmcBX8H-MD0_-OdD,metricbeat-000209,NA,doc,83,6.2.4,9,system,network,"2,892",208.106MB,0,0,"475,557",Ethernet,135.681MB,0,0,"520,078"
38611,"December 18th 2018, 15:17:55.017",1,hBU7wmcBn_oGi6rsvGkZ,metricbeat-000209,NA,doc,84,6.2.4,9,system,network,"3,382",90.113MB,0,0,"178,946",Ethernet,47.97MB,0,0,"188,359"
38421,"December 18th 2018, 15:20:07.990",1,aJBUwmcBAOA7YPJGGiA-,metricbeat-000209,NA,doc,85,6.2.4,10,system,network,797,378.743MB,0,0,"906,692",Ethernet,259.858MB,0,0,"939,671"
38646,"December 18th 2018, 15:17:37.479",1,OBg7wmcBrehMbwjYtAp3,metricbeat-000209,NA,doc,86,6.2.4,10,system,network,"4,868",1.35GB,0,0,"2,285,270",Ethernet,601.524MB,0,0,"2,163,683"
38641,"December 18th 2018, 15:17:39.210",1,5CxTwmcBxOZ1qs_phiQ6,metricbeat-000209,NA,doc,87,6.2.4,10,system,network,997,84.075MB,0,0,"173,556",Ethernet,50.407MB,0,0,"175,556"
38442,"December 18th 2018, 15:19:50.088",1,KrY8wmcBX8H-MD0_AhDE,metricbeat-000209,NA,doc,88,6.2.4,10,system,network,"3,866",84.265MB,0,0,"175,794",Ethernet,72.228MB,0,0,"189,214"
38570,"December 18th 2018, 15:18:21.038",1,g1JTwmcBdDbnrhqkwXDp,metricbeat-000209,NA,doc,89,6.2.4,10,system,network,"3,952",80.551MB,0,0,"160,489",Ethernet,45.102MB,0,0,"166,697"
38501,"December 18th 2018, 15:18:56.068",1,brQ7wmcBX8H-MD0_jOTR,metricbeat-000209,NA,doc,90,6.2.4,11,system,network,"1,028",88.229MB,0,0,"191,254",Ethernet,51.946MB,0,0,"193,471"
