,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,system_cpu_cores,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
17045,"December 18th 2018, 13:04:07.419",1,0JkkwmcBX8H-MD0_d_yd,metricbeat-000209,NA,doc,1,6.2.4,1,system,cpu,,4,393.43%,0%,0%,0%,0%,0%,3.75%,0.06570,2.82%
17067,"December 18th 2018, 13:03:33.445",1,WkoBwmcBAOA7YPJGIUgJ,metricbeat-000209,NA,doc,2,6.2.4,1,system,cpu,203,4,391.63%,0%,0%,0%,0%,0%,7.07%,0.08370,1.30%
17044,"December 18th 2018, 13:04:08.740",1,Ex0kwmcBdDbnrhqkeX0n,metricbeat-000209,NA,doc,3,6.2.4,1,system,cpu,92,4,393.90%,0%,0%,0%,0%,0%,4.19%,0.06100,1.91%
17132,"December 18th 2018, 13:01:28.250",1,bRsTwmcBdDbnrhqkxc-N,metricbeat-000209,NA,doc,4,6.2.4,1,system,cpu,144,4,396.23%,0%,0%,0%,0%,0%,2.82%,0.03770,0.95%
17085,"December 18th 2018, 13:03:10.215",1,KVUBwmcBuqt-6aA3VSFb,metricbeat-000209,NA,doc,5,6.2.4,1,system,cpu,,4,391.29%,0%,0%,0%,0%,0%,7.10%,0.08710,1.61%
17036,"December 18th 2018, 13:04:38.710",1,vIUBwmcBbOSZnM2xRPvO,metricbeat-000209,NA,doc,6,6.2.4,1,system,cpu,,4,393.08%,0%,0%,0%,0%,0%,5.73%,0.06920,1.19%
17050,"December 18th 2018, 13:04:01.039",1,8pUkwmcBbOSZnM2xcf_1,metricbeat-000209,NA,doc,7,6.2.4,1,system,cpu,,4,392.63%,0%,0%,0%,0%,0%,6.34%,0.07370,1.03%
17056,"December 18th 2018, 13:03:49.485",1,ig0BwmcBdDbnrhqkcdks,metricbeat-000209,NA,doc,8,6.2.4,1,system,cpu,,4,397.12%,0%,0%,0%,0%,0%,2.28%,0.02880,0.60%
17094,"December 18th 2018, 13:02:46.925",1,PVkUwmcBAOA7YPJGKVDv,metricbeat-000209,NA,doc,12,6.2.4,2,system,cpu,,4,394.78%,0%,0%,0%,0%,0%,4.17%,0.05220,1.06%
17127,"December 18th 2018, 13:01:38.984",1,2g0BwmcBdDbnrhqkJh7j,metricbeat-000209,NA,doc,14,6.2.4,2,system,cpu,,4,398.01%,0%,0%,0%,0%,0%,1.58%,0.01990,0.42%
17112,"December 18th 2018, 13:02:08.080",1,3FQAwmcBuqt-6aA3zxdD,metricbeat-000209,NA,doc,20,6.2.4,2,system,cpu,,4,390.35%,0%,0%,0%,0%,0%,7.98%,0.09650,1.66%
17097,"December 18th 2018, 13:02:41.388",1,puoBwmcBn_oGi6rsR0UN,metricbeat-000209,NA,doc,21,6.2.4,2,system,cpu,,4,394.09%,0%,0%,0%,0%,0%,3.11%,0.05910,2.80%
