,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
24817,"December 18th 2018, 17:42:28.714",1,gn50wmcBN4R-DFd1UGMb,metricbeat-000209,NA,doc,122,6.2.4,14,system,network,"3,039",796.787MB,0,0,"1,609,134",Ethernet,511.38MB,0,0,"1,690,372"
24821,"December 18th 2018, 17:42:27.468",1,rcB0wmcBuqt-6aA3Trxe,metricbeat-000209,NA,doc,51,6.2.4,6,system,network,"3,884",342.632MB,0,0,"785,509",Ethernet,251.624MB,0,0,"848,048"
24823,"December 18th 2018, 17:42:25.119",1,IcB0wmcBuqt-6aA3TrsI,metricbeat-000209,NA,doc,78,6.2.4,8,system,network,"4,033",108.649MB,0,0,"165,429",Ethernet,38.292MB,0,0,"145,664"
24827,"December 18th 2018, 17:42:25.012",1,ssB0wmcBuqt-6aA3TroI,metricbeat-000209,NA,doc,60,6.2.4,7,system,network,"3,982",1.489GB,0,0,"3,126,478",Ethernet,"1,018.946MB",0,0,"3,412,968"
24830,"December 18th 2018, 17:42:24.964",1,#NAME?,metricbeat-000209,NA,doc,62,6.2.4,7,system,network,"2,053",152.174MB,0,0,"253,590",Ethernet,82.503MB,0,0,"248,335"
24833,"December 18th 2018, 17:42:20.631",1,Afh0wmcB6ZGVNHRkTcg8,metricbeat-000209,NA,doc,154,6.2.4,19,system,network,"5,161",352.324MB,0,0,"821,543",Ethernet,214.166MB,0,0,"863,475"
24834,"December 18th 2018, 17:42:20.572",1,M_h0wmcB6ZGVNHRkTcg8,metricbeat-000209,NA,doc,91,6.2.4,11,system,network,"4,021",353.075MB,0,0,"645,068",Ethernet,203.101MB,0,0,"675,685"
24838,"December 18th 2018, 17:42:13.500",1,luVpwmcBX8H-MD0_OULP,metricbeat-000209,NA,doc,48,6.2.4,6,system,network,"3,988",120.549MB,0,0,"248,020",Ethernet,101.242MB,0,0,"277,720"
24842,"December 18th 2018, 17:42:10.004",1,wvh0wmcB6ZGVNHRkRr7R,metricbeat-000209,NA,doc,151,6.2.4,19,system,network,965,199.938MB,0,0,"354,996",Ethernet,134.996MB,0,0,"351,680"
24843,"December 18th 2018, 17:42:08.241",1,PehpwmcB6ZGVNHRkIzJA,metricbeat-000209,NA,doc,20,6.2.4,2,system,network,"3,842",129.396MB,0,0,"240,714",Ethernet,76.622MB,0,0,"250,662"
24848,"December 18th 2018, 17:42:06.452",1,mkVpwmcBn_oGi6rsHR51,metricbeat-000209,NA,doc,173,6.2.4,22,system,network,969,10.248MB,0,0,"20,757",Ethernet,4.845MB,0,0,"20,722"
24849,"December 18th 2018, 17:42:04.189",1,7-RpwmcBX8H-MD0_E_bs,metricbeat-000209,NA,doc,170,6.2.4,22,system,network,"3,010",158.893MB,0,0,"302,148",Ethernet,85.145MB,0,0,"308,474"
24853,"December 18th 2018, 17:42:02.951",1,l350wmcBN4R-DFd1RUxA,metricbeat-000209,NA,doc,105,6.2.4,12,system,network,"3,881",239.8MB,0,0,"353,529",Ethernet,73.514MB,0,0,"320,767"
24855,"December 18th 2018, 17:42:02.549",1,qX50wmcBN4R-DFd1RUxA,metricbeat-000209,NA,doc,187,6.2.4,21,system,network,"3,896",195.082MB,0,0,"284,955",Ethernet,65.338MB,0,0,"283,107"
24859,"December 18th 2018, 17:42:01.935",1,8OdpwmcB6ZGVNHRkC_yS,metricbeat-000209,NA,doc,159,6.2.4,20,system,network,"3,987",175.152MB,0,0,"288,278",Ethernet,64.182MB,0,0,"278,970"
