,X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
0,131951.688,158,20,2.2155,0,0,0,0,0,0.9469,1.7845,0.8376,10.82517592214037
1,131752.856,136,17,3.5732,0,0,0,0,0,0.2595,0.4268,0.1673,10.82517592214037
2,131512.19,44,5,3.5975,0,0,0,0,0,0.3068,0.4025,0.0957,10.82517592214037
3,131917.8,155,20,3.3995,0,0,0,0,0,0.4529,0.6005,0.1476,10.82517592214037
4,131550.756,30,3,3.5234,0,0,0,0,0,0.3896,0.4766,0.0869,10.82517592214037
5,131701.971,159,20,3.7336,0,0,0,0,0,0.2264,0.2664,0.04,10.82517592214037
6,131815.74599999998,156,20,3.5932,0,0,0,0,0,0.3097,0.4068,0.0971,10.82517592214037
7,131553.965,45,5,3.6772,0,0,0,0,0,0.2171,0.3228,0.1057,10.82517592214037
8,131747.226,31,3,3.8097,0,0,0,0,0,0.0994,0.1903,0.0909,9.540821849978249
9,131659.572,160,20,3.8416,0,0,0,0,0,0.1228,0.1584,0.0356,9.141427254809821
10,131741.637,26,3,3.7966,0,0,0,0,0,0.0576,0.2034,0.1458,8.75892665846073
11,131625.533,191,21,3.8368,0,0,0,0,0,0.1457,0.1632,0.0176,8.659426235472072
12,131739.256,87,10,3.8847,0,0,0,0,0,0.0743,0.1153,0.040999999999999995,6.563529676370292
13,131625.30800000002,28,3,3.8434,0,0,0,0,0,0.1167,0.1566,0.0399,6.351046042714115
14,131624.488,147,18,3.8454,0,0,0,0,0,0.1365,0.1546,0.0182,5.682134061864115
15,131704.09699999998,170,22,3.862,0,0,0,0,0,0.1233,0.138,0.0147,5.4297959900998585
16,131613.919,100,12,3.9057,0,0,0,0,0,0.0505,0.0943,0.0438,5.252251482513145
17,131810.215,5,1,3.8974,0,0,0,0,0,0.0782,0.1026,0.0244,4.8797810090397435
18,131751.635,29,3,3.8604,0,0,0,0,0,0.1111,0.1396,0.0285,4.8797810090397435
19,131540.60199999998,180,23,3.8728,0,0,0,0,0,0.1043,0.1272,0.0229,4.8797810090397435
20,131655.154,134,16,3.8864,0,0,0,0,0,0.0893,0.1136,0.0243,4.8797810090397435
21,131927.878,182,23,3.8955,0,0,0,0,0,0.0794,0.1045,0.0251,4.8797810090397435
22,131700.187,177,23,3.8671,0,0,0,0,0,0.1158,0.1329,0.0171,4.397779989701995
23,131607.297,99,12,3.8631,0,0,0,0,0,0.11900000000000001,0.1369,0.0179,4.397779989701995
24,131842.544,110,13,3.884,0,0,0,0,0,0.1011,0.11599999999999999,0.0149,4.145441917937738
25,131623.848,148,18,3.8747,0,0,0,0,0,0.1106,0.1253,0.0147,4.145441917937738
26,131958.953,161,20,3.8984,0,0,0,0,0,0.0724,0.1016,0.0291,4.116965306574887
27,131548.565,46,5,3.9004,0,0,0,0,0,0.0813,0.0996,0.0183,3.868396987362366
28,131521.96,41,5,3.9002,0,0,0,0,0,0.0699,0.0998,0.0299,3.852273805405072
29,131530.346,38,4,3.9192,0,0,0,0,0,0.0554,0.0808,0.0255,3.5685028151825966
30,131740.633,142,18,3.9143,0,0,0,0,0,0.0473,0.0857,0.0384,3.4062879596109035
31,131820.919,176,23,3.9252,0,0,0,0,0,0.0579,0.0748,0.017,3.370272786067323
32,131833.468,186,21,3.925,0,0,0,0,0,0.0599,0.075,0.0151,3.1179347143030665
33,131728.745,122,14,3.9255,0,0,0,0,0,0.0644,0.0745,0.0101,2.854693279528485
34,131838.184,181,23,3.9232,0,0,0,0,0,0.0644,0.0768,0.0123,2.803540757081104
35,131708.06699999998,20,2,3.9201,0,0,0,0,0,0.0678,0.0799,0.0122,2.803540757081104
36,131634.43099999998,23,2,3.9267,0,0,0,0,0,0.0614,0.0733,0.0119,2.803540757081104
37,131703.044,105,12,3.9267,0,0,0,0,0,0.064,0.0733,0.0093,2.5536632838645037
38,131814.36800000002,78,8,3.9283,0,0,0,0,0,0.0589,0.0717,0.0128,2.2869109610777683
39,131714.363,32,4,3.9343,0,0,0,0,0,0.036000000000000004,0.0657,0.0297,2.180231415045681
40,131625.741,139,17,3.9404,0,0,0,0,0,0.0353,0.0596,0.0243,1.9142982358051872
41,131845.518,183,11,3.9295,0,0,0,0,0,0.0489,0.0705,0.0216,1.8910273482664661
42,131746.917,12,2,3.9332,0,0,0,0,0,0.0492,0.0668,0.0176,1.8910273482664661
43,131626.003,77,8,3.9345,0,0,0,0,0,0.047,0.0655,0.0185,1.8910273482664661
44,131637.31900000002,95,11,3.9314,0,0,0,0,0,0.0584,0.0686,0.0102,1.8214336875217965
45,131552.794,118,14,3.9474,0,0,0,0,0,0.0321,0.0526,0.0205,1.7118462243969734
46,131824.777,69,7,3.9439,0,0,0,0,0,0.0341,0.0561,0.022000000000000002,1.5910143794536973
