,X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,system_cpu_idle_pct.1,system_cpu_iowait_pct.1,system_cpu_irq_pct.1,system_cpu_nice_pct.1,system_cpu_softirq_pct.1,system_cpu_steal_pct.1,system_cpu_system_pct.1,system_cpu_total_pct.1,system_cpu_user_pct.1,system_cpu_idle_pct.2,system_cpu_iowait_pct.2,system_cpu_irq_pct.2,system_cpu_nice_pct.2,system_cpu_softirq_pct.2,system_cpu_steal_pct.2,system_cpu_system_pct.2,system_cpu_total_pct.2,system_cpu_user_pct.2,HBOS
85,134820,54,6,3.92,0,0,0,0,0,0.06,0.08,0.02,3.92,0,0,0,0,0,0.06,0.08,0.02,3.93,0,0,0,0,0,0.06,0.07,0.01,5.2914467016269615
86,134821,176,23,3.94,0,0,0,0,0,0.05,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,3.88,0,0,0,0,0,0.1,0.12,0.03,5.181238542581429
87,134547,82,9,3.92,0,0,0,0,0,0.04,0.08,0.04,3.92,0,0,0,0,0,0.04,0.08,0.04,3.95,0,0,0,0,0,0.05,0.05,0.01,4.958232022591568
88,134605,76,8,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.84,0,0,0,0,0,0.13,0.16,0.03,4.772436799241819
89,134555,80,9,3.94,0,0,0,0,0,0.05,0.06,0.01,3.94,0,0,0,0,0,0.05,0.06,0.01,3.89,0,0,0,0,0,0.08,0.11,0.03,4.414368302607481
90,134628,4,1,3.92,0,0,0,0,0,0.07,0.08,0.02,3.92,0,0,0,0,0,0.07,0.08,0.02,3.97,0,0,0,0,0,0.02,0.03,0.01,4.3152134235847
91,134612,121,14,3.93,0,0,0,0,0,0.06,0.07,0.01,3.93,0,0,0,0,0,0.06,0.07,0.01,3.9,0,0,0,0,0,0.08,0.1,0.01,4.161642986518046
92,134934,175,22,3.94,0,0,0,0,0,0.04,0.06,0.02,3.94,0,0,0,0,0,0.04,0.06,0.02,3.93,0,0,0,0,0,0.06,0.07,0.01,4.058736217343035
93,134522,179,23,3.92,0,0,0,0,0,0.07,0.08,0.01,3.92,0,0,0,0,0,0.07,0.08,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,3.6394071643483112
94,134911,25,3,3.95,0,0,0,0,0,0.03,0.05,0.02,3.95,0,0,0,0,0,0.03,0.05,0.02,3.93,0,0,0,0,0,0.05,0.07,0.01,3.5963924709510144
